jp,en
play soccer - サッカーをする,play soccer
play tennis - テニスをする,play tennis
play cards - トランプをする,play cards
make a snowman - ゆきだるまをつくる,make a snowman
cook curry - カレーをりょうりする,cook curry
swim fast - 速く泳ぐ,swim fast
sing well - 上手に歌う,sing well
watch T.V - テレビを見る,watch T.V
go shopping - 買い物に行く,go shopping
listen to music - 音楽を聴く,listen to music
eat natto - なっとうをたべる,eat natto
do my homework - 宿題をする,do my homework
clean the house - 家を掃除する,	clean the house
play the guitar - ギターを演奏する,play the guitar
play the piano - ピアノを演奏する,play the piano
